horizon,baseline_mae,baseline_rmse,finetune_mae,finetune_rmse,single_mae,single_rmse
1,2.288,3.8364,2.3023,3.8823,2.9687,5.0715
2,5.6109,8.2602,5.2781,8.0036,5.568,8.57
3,7.9501,11.4973,7.3104,10.9289,8.2234,12.2818
4,10.617,15.0881,9.7727,14.3435,10.5608,15.5567
5,13.0837,18.3372,12.029,17.4092,12.7489,18.5811
6,15.4612,21.4309,14.2466,20.3604,14.8301,21.4417
7,17.6684,24.3336,16.3267,23.1298,16.8309,24.1726
8,19.804,27.1062,18.3405,25.7891,18.7591,26.8053
9,21.8715,29.745,20.2919,28.3255,20.6388,29.3292
10,23.8651,32.2645,22.1947,30.7525,22.4425,31.7515
11,25.8125,34.6883,24.0626,33.0947,24.2001,34.0945
12,27.6899,37.0262,25.8598,35.3501,25.883,36.3496
