horizon,eval_559-ws-testing_base_line_model_plus_physio_all12_mae,eval_559-ws-testing_base_line_model_plus_physio_all12_rmse,eval_559-ws-testing_base_line_no_future_all12_mae,eval_559-ws-testing_base_line_no_future_all12_rmse,eval_559-ws-testing_base_line_physio_only_all12_mae,eval_559-ws-testing_base_line_physio_only_all12_rmse,eval_559-ws-testing_base_line_with_future_all12_mae,eval_559-ws-testing_base_line_with_future_all12_rmse,eval_559-ws-testing_fine_tuned_model_plus_physio_all12_mae,eval_559-ws-testing_fine_tuned_model_plus_physio_all12_rmse,eval_559-ws-testing_fine_tuned_no_future_all12_mae,eval_559-ws-testing_fine_tuned_no_future_all12_rmse,eval_559-ws-testing_fine_tuned_physio_only_all12_mae,eval_559-ws-testing_fine_tuned_physio_only_all12_rmse,eval_559-ws-testing_fine_tuned_with_future_all12_mae,eval_559-ws-testing_fine_tuned_with_future_all12_rmse,eval_559-ws-testing_single_model_plus_physio_all12_mae,eval_559-ws-testing_single_model_plus_physio_all12_rmse,eval_559-ws-testing_single_no_future_all12_mae,eval_559-ws-testing_single_no_future_all12_rmse,eval_559-ws-testing_single_physio_only_all12_mae,eval_559-ws-testing_single_physio_only_all12_rmse,eval_559-ws-testing_single_with_future_all12_mae,eval_559-ws-testing_single_with_future_all12_rmse
1,2.35,3.9376,2.35,3.9376,3.1485,4.9112,2.35,3.9376,2.5499,4.1947,2.5499,4.1947,3.1485,4.9112,2.5499,4.1947,3.7479,7.2507,3.7479,7.2507,3.1485,4.9112,3.7479,7.2507
2,5.2303,7.9508,5.1946,7.9089,5.9685,8.8969,5.2546,7.9739,5.59,8.0652,5.5676,8.0315,5.9685,8.8969,5.7544,8.3272,5.9881,9.7764,5.965,9.7466,5.9685,8.8969,6.3008,10.4852
3,7.5646,11.2909,7.4028,11.0804,8.6559,12.6802,7.5055,11.1892,8.0846,11.3802,7.9616,11.2049,8.6559,12.6802,8.2524,11.6594,8.698,13.2412,8.5727,13.0694,8.6559,12.6802,9.0321,13.9874
4,10.1176,14.9442,9.6928,14.2925,11.3579,16.4982,9.8377,14.4436,10.9518,15.1896,10.5742,14.6355,11.3579,16.4982,10.9165,15.1528,11.3885,16.8763,11.0181,16.3168,11.3579,16.4982,11.4848,17.2717
5,12.8151,18.8352,11.9031,17.3068,14.1672,20.5262,12.0662,17.4939,13.9276,19.2024,13.1052,17.8855,14.1672,20.5262,13.4585,18.4411,14.087,20.6843,13.2749,19.3343,14.1672,20.5262,13.7119,20.2919
6,15.7299,23.1894,14.0254,20.1255,17.1779,24.9883,14.1777,20.3342,17.1143,23.6558,15.5282,20.9837,17.1779,24.9883,15.8571,21.5515,16.9472,24.9502,15.4061,22.1892,17.1779,24.9883,15.7989,23.1404
7,18.9782,28.3409,16.0179,22.7726,20.5062,30.2115,16.163,23.0028,20.6523,28.8585,17.8413,23.9404,20.5062,30.2115,18.1428,24.5207,20.1474,30.0266,17.4363,24.9334,20.5062,30.2115,17.8047,25.878
8,22.7905,34.7207,17.9279,25.2839,24.3998,36.6193,18.0584,25.5319,24.743,35.2376,20.0647,26.7956,24.3998,36.6193,20.3499,27.3873,23.9526,36.3364,19.423,27.6004,24.3998,36.6193,19.7213,28.529
9,27.451,42.818,19.7893,27.6606,29.1412,44.7001,19.8775,27.9147,29.6932,43.277,22.2517,29.5516,29.1412,44.7001,22.5021,30.1403,28.6069,44.3522,21.3572,30.1766,29.1412,44.7001,21.5938,31.0693
10,33.2886,53.3,21.5647,29.9134,35.064,55.1263,21.614,30.161,35.9401,53.6481,24.4443,32.2283,35.064,55.1263,24.6433,32.7911,34.4311,54.7376,23.2313,32.6647,35.064,55.1263,23.3925,33.5025
11,41.0762,67.6207,23.3174,32.0706,42.8788,69.3491,23.3,32.2956,44.0593,67.7943,26.6038,34.8525,42.8788,69.3491,26.7388,35.3681,42.1758,68.9392,25.0738,35.0827,42.8788,69.3491,25.1594,35.8419
12,53.6794,91.9227,24.9748,34.1354,55.5018,93.4762,24.8974,34.3342,56.8316,91.8248,28.7286,37.4159,55.5018,93.4762,28.8082,37.8744,54.7897,93.0632,26.8597,37.4203,55.5018,93.4762,26.857,38.0973
